sentence,translated,fuel,machine,others,part,price,service
Saya memakai Honda Jazz GK5 tahun 2014 ( pertama meluncur ) . Mobil nya bagus dan enak sesuai moto nya menyenangkan untuk dikendarai,"Kupake Honda Jazz GK5 tahun 2014 (pertama kali iluncurken). Mobil e mehuli ras nyaman, rikutken mottona, meriah kel akapna ermotor",neutral,neutral,positive,neutral,neutral,neutral
Avanza kenapa jadi boros bensin begini dah ah. Baru diisi sudah mau setengah saja .,Engkai maka Avanza e mbuang-mbuang bahan bakar? Baru iisi janah enggo hampir setengah dem.,negative,neutral,neutral,neutral,neutral,neutral
"saran ku dan pengalaman ku , mending beli mobil niaga L300 atau canter . irit dan bandel .","Saranku ras pengalamenku, ulin nge nukur kendaraan komersial L300 ntah pe Canter. ekonomis ras keras kepala.",positive,positive,neutral,neutral,neutral,neutral
Dari segi harga juga pajero lebih mahal 30 jutaan dibanding fortuner,"Adi siperdiateken ergana, Pajero pe 30 juta lebih meherga asangken Fortuner.",neutral,neutral,neutral,neutral,positive,neutral
Kalo menurut gw enak pajero si,"Menurutku, Pajero e mejile .",neutral,neutral,positive,neutral,neutral,neutral
CH - R versi negara ini kurang worth it soal fitur dan kelengkapan,Versi CH-R negara enda kurang berharga ibas segi fitur ras kelengkapenna.,neutral,neutral,neutral,negative,neutral,neutral
"@LinaRadj kapan-kapan coba bengkel daihatsu , mereka mau kok . Servis lebih bagus .","@LinaRadj cubakenlah bengkel Daihatsu e piga-piga waktu, pasti nggit ia. Pelayanen si lebih mehuli.",neutral,neutral,neutral,neutral,neutral,positive
Mending confero harga nya lebih murah daripada formo.,Confero lebih mehuli erkiteken murahen asangken Formo.,neutral,neutral,neutral,neutral,negative,neutral
kalo soal servis mending pilih grand livina soalnya after sales service nya mudah dan cepat,"Adi kerna servis, ulin pilih Grand Livina erkiteken servis purna jualna gampang ras pedas.",neutral,neutral,neutral,neutral,neutral,positive
Lampu utama depan Grand New Veloz juga mendapatkan perubahan desain dan terkesan lebih agresif dan sedikit menonjol,Lampu depan Grand New Veloz pe ndatken perubahen desain ras teridah lebih agresif ras sitik menonjol.,neutral,neutral,neutral,positive,neutral,neutral
Motor beat aku yang menemani aku di saat ke mana saja dan yang penting bbm - nya ramah lingkungan dan ramah juga di kantong dan tarikan nya mantap banget .,Motor Beat ku nemani aku ku japa pe aku lawes janah si penting bahan bakarna ramah lingkungen ras pe ramah kantong ras daya tarikna tuhu-tuhu hebat.,positive,positive,neutral,neutral,neutral,neutral
"Xenia tahun 2008 bolak-balik jakarta - bandung , aki tetap aman .","Xenia 2008 bolak-balik jakarta - bandung, batre tetap aman.",neutral,neutral,neutral,positive,neutral,neutral
#YamahaID Perawatan Motor Injeksi Yamaha Mudah dan Murah,#YamahaID Perawatan Motor Injeksi Yamaha si Mudah ras Murah,neutral,neutral,neutral,neutral,neutral,positive
Buat dalam kota xpander bagus karna model nya kalem dan kesan nya car city,"Bagi berkendara kota, Xpander enda mehuli erkiteken desainna tenang ras mereken kesan mobil kota.",neutral,neutral,neutral,positive,neutral,neutral
brio pajak nya murah karena ckd daripada ignis atau sirion yg cbu pajak nya agak mahal trus onderdil nya agak susah atau lama kalo mau klaim asuransi,Pajak Brio murah erkiteken CKD adi ibandingken ras Ignis ntah Sirion si lit pajak CBU si cukup mahal ras suku cadangna cukup sulit ntah pe ndekah guna klaim asuransi .,neutral,neutral,neutral,negative,negative,neutral
toyota menang harga nya kalo nantinya mau dijual,Toyota menang ergana adi atendu idayakenndu kenca si e .,neutral,neutral,neutral,neutral,positive,neutral
All New Toyota Kijang Innova G Diesel 2017 . Mesin bandel nan irit Otolovers .,"Kerina Toyota Baru Kijang Innova G Solar 2017. Mesin si tangguh ras hemat bahan bakar, Otolovers.",positive,positive,neutral,neutral,neutral,neutral
"Khusus nya Daihatsu Xenia Sporty Manual , apalagi yang terbaru ini , di samping irit bbm , suara mesin halus . Tarikan lebih baik dari generasi sebelumnya dan akselerasi cukup baik dan variasi tidak terlalu monoton atau ramai .","Khususna Daihatsu Xenia Sporty Manual, khususna si terbaru, selain hemat bahan bakar, sora mesinna pe lancar. Tarikna lebih mehuli asangken generasi sebelumna ras percepatanna cukup mehuli ras variasina pe la terlalu monoton ntah pe rame.",positive,positive,neutral,positive,neutral,neutral
untuk yang sekarang great new xenia sudah mempunyai fasilitas yang wow dengan harga yang bersahabat bahkan lebih murah daripada rival nya,"Guna genduari, Great New Xenia lit fasilitasna si wow alu erga si ramah, bahkan murahen asangken saingenna.",neutral,neutral,neutral,positive,positive,neutral
"punya mobil altis tidak awet , baru setahun sudah rusak .","Lit sada mobil Altisku si la tahan lama, enggo setahun ngenca janah enggo rusak.",neutral,neutral,negative,neutral,neutral,neutral
Xenia ku tipe xi sudah 1.5 tahun dan cukup bangga dengan performa nya,"Xenia tipe xi ku enggo 1,5 tahun janah cukup bangga aku nandangi kinerjana.",neutral,positive,neutral,neutral,neutral,neutral
"Service rutin ke bengkel daihatsu resmi gak jaminan juga , rem - ku blong waktu jalan ,","Servis rutin i bengkel Daihatsu si sah labo mereken jaminen, remku gagal sanga ermotor.",neutral,neutral,neutral,neutral,neutral,negative
"Saya pakai karimun , adik saya pakai brio . memang karimun lebih nyaman walau lebih murah dari brio .","Au pake karimun, adekku pake brio. Karimun memang lebih nyaman nang pe ummura sian Brio.",neutral,neutral,positive,neutral,positive,neutral
bodi plus tampilan nya Avanza baru mantap juragan,"Hebat do badan dohot penampilan ni Avanza na baru i, bos",neutral,neutral,neutral,positive,neutral,neutral
Sudah dari dulu Toyota selalu kasih produk super mahal dengan fitur pas pasan,"Nunga leleng, Toyota sai mangalehon produk na super mahal dohot fitur na biasa-biasa .",neutral,neutral,neutral,negative,negative,neutral
"udah gaya nya stylish ekonomis pula, beli calya deh","Gaya na stylish jala hemat do tong, tuhor ma Calya",neutral,neutral,neutral,positive,positive,neutral
avanza ini mobil saya yang paling bandel,Avanza do mobilku na paling gogo,neutral,positive,neutral,neutral,neutral,neutral
Mobil kualitas jelek kayak wuling saja masuk Indonesia.,Mobil hurang bermutu songon si Wuling holan masuk tu Indonesia.,neutral,neutral,negative,neutral,neutral,neutral
Pelayanan bengkel daihatsu bagus,Pelayanan bengkel daihatsu bagus do ,neutral,neutral,neutral,neutral,neutral,positive
"gue punya xenia xi , dasbor nabrak pohon , setelah dua hari diperbaiki di servis resmi daihatsu , langsung jadi kayak baru lagi , keren .","Adong do Xenia Xi di ahu, hona ma dasborna tu hau, dung dua ari diperbaiki di service Daihatsu resmi, pintor songon na baru muse, keren.",neutral,neutral,neutral,neutral,neutral,positive
"fortuner per nya keras , capek","fortuner per nya keras, loja",neutral,neutral,neutral,negative,neutral,neutral
"Lebih bagus Mobil Esemka , Mobil Nasional Asli Buatan Dalam Negeri , Harga Terjangkau , Irit BBM Mesin nya juga tangguh .","Mobil Esemka lebih bagus, mobil nasional asli buatan negeri, harga terjangkau, Hemat bbm na pe tangguh.",positive,positive,positive,neutral,positive,neutral
"ya begitu itu Nissan , memang agak mahal tetapi daya tahan nya bagus .","Olo, ido Nissan, agak mahal do alai daya tahan na denggan.",neutral,neutral,positive,neutral,negative,neutral
fortuner gak cocok buat mahasiswa dari segi desain yang terlalu mencolok dan mahal pula,Fortuner dang cocok tu mahasiswa sian segi desain na terlalu mencolok jala mahal juga ,neutral,neutral,neutral,negative,neutral,neutral
Servis di Bengkel Toyota Lebih cepat,servis di bengkel toyota lam hatop,neutral,neutral,neutral,neutral,neutral,positive
Honda Spacy irit banget sumpah,"Hemat hian do honda Spacy i, sumpah",positive,neutral,neutral,neutral,neutral,neutral
Gak bisa tidur kalau malam-malam di mobil karena suara ac nya berisik sekali,Dang boi modom borngin di mobil ala gogo AC na,neutral,neutral,neutral,negative,neutral,neutral
"Ih bengkel honda ini picik banget ya , masa iya aki motor gue ditukar sama yang jelek biar gak bisa hidup terus ada keluhan terus ke sana lagi gitu","ih memang metmet do bengkel Honda on, boasa dang huganti batere ni motorhu tu na so denggan asa unang mulai dungi adong ma keluhan jala sai lao ma au muse tusi.",neutral,neutral,neutral,neutral,neutral,negative
"dari segi kenyamanan cortez oke lah, tapi bahan bakar nya itu loh boros banget","Molo sian segi kenyamanan, Cortez i oke do, alai BBM na boros do tutu",negative,neutral,positive,neutral,neutral,neutral
"jujur saja inden nya lama banget dari dealer , sudah 1 bulan belum datang juga","Jujur dohonon, leleng situtu do sian dealer i, nunga sabulan ndang sahat dope",neutral,neutral,neutral,neutral,neutral,negative
numpang gabung ya baru beli xenia 04 - 2008 3 hari yang lalu keseluruhan gue ngerasa cukup .,"numpang gabung, baru manuhor xenia 04 - 2008 3 hari yang lalu secara keseluruhan huhilala nunga cukup.",neutral,neutral,positive,neutral,neutral,neutral
setuju banget kalau jazz lebih keren dan mantap daripada mobilio,Setuju situtu do au molo jazz lebih keren jala dumenggan sian mobilio .,neutral,neutral,negative,neutral,neutral,neutral
"Masya Allah toyota mahal harga nya , tetapi pelit fitur-fitur","Masya Allah, Toyota mahal, alai pelit di fitur",neutral,neutral,neutral,negative,negative,neutral
